Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Nissan,2015,X-Trail,SUV,2015 Nissan X-Trail ST (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,241131,Grey / -,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,17746
Honda,2009,Odyssey,Wagon,2009 Honda Odyssey Luxury,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.9 L / 100 km,215000,Silver / -,"Archerfield, QLD",4 cyl,Wagon, 4 Doors, 7 Seats,12999
Mazda,2021,CX-9,SUV,2021 Mazda CX-9 Azami (awd) LE,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.8 L / 100 km,61289,Red / Leather,"Springvale, VIC",4 cyl,SUV, 4 Doors, 7 Seats,57888
Mitsubishi,2019,Outlander,SUV,2019 Mitsubishi Outlander LS 7 Seat (2WD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.2 L / 100 km,62817,White / Black,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 7 Seats,34260
Toyota,2017,Corolla,"03 **** ****
",2017 Toyota Corolla WXB HYBRID 1.5L 5 SEATER,USED,-,-,Other,-,-,51320,Black / -,"Moorabbin, VIC",-,,,,34950
Ford,2010,Ranger,Ute / Tray,2010 Ford Ranger XL (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,322249,- / -,"Underwood, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,14990
Toyota,2013,Camry,Sedan,2013 Toyota Camry Atara S,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.8 L / 100 km,146942,Blue / Black Cloth,"Ferntree Gully, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,18987
Mitsubishi,1999,Lancer,USED Dealer ad,1999 Mitsubishi Lancer EVOLUTION VI CP9A 4CYL 2.0L 5SP MANUAL 4D SEDAN,USED,Manual,-,Other,Unleaded,-,129101,White / -,"Braeside, VIC",-,,,,44995
Renault,2023,Koleos,"Barry Bourke GMSV, Suzuki, Renault & LDV New",2023 Renault Koleos Intens (4X2),NEW,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,10,Red / Black Nappa Leather,"Berwick, VIC",4 cyl,SUV, 4 Doors, 5 Seats,47880
BMW,2015,420I,Coupe,2015 BMW 420I Modern Line,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.1 L / 100 km,110092,Red / Black,"Everton Hills, QLD",4 cyl,Coupe, 2 Doors, 4 Seats,27999
Jeep,2023,Grand,Knox Ford & Jeep,2023 Jeep Grand Cherokee Night Eagle 5 Seat (4X4),NEW,Automatic,"6 cyl, 3.6 L",4WD,-,9.9 L / 100 km,16,- / -,"Ferntree Gully, VIC",6 cyl,SUV, 4 Doors, 5 Seats,80990
Nissan,2009,Elgrand,People Mover,2009 Nissan Elgrand,USED,Automatic,"6 cyl, 3.5 L",AWD,-,-,81000,Black / -,"Slacks Creek, QLD",6 cyl,People Mover, 4 Doors,,21000
Subaru,2012,Impreza,Hatchback,2012 Subaru Impreza 2.0I-S (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.8 L / 100 km,65600,Silver / -,"Moorabbin, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
Kia,2008,Grand,Wagon,2008 Kia Grand Carnival (EX),USED,Automatic,"6 cyl, 3.8 L",Front,Unleaded,12.8 L / 100 km,190450,Blue / -,"Slacks Creek, QLD",6 cyl,Wagon, 4 Doors, 8 Seats,10490
Nissan,2009,X-Trail,SUV,2009 Nissan X-Trail ST (4X4),USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,9.3 L / 100 km,242589,Silver / -,"Coburg North, VIC",4 cyl,SUV, 4 Doors, 5 Seats,8990
Mercedes-Benz,2016,GLA180,SUV,2016 Mercedes-Benz GLA180,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,5.7 L / 100 km,49878,Red / Black,"Nunawading, VIC",4 cyl,SUV, 4 Doors, 5 Seats,31990
BMW,2012,118D,Convertible,2012 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.5 L / 100 km,137000,White / Black,"Kedron, QLD",4 cyl,Convertible, 2 Doors, 4 Seats,18990
Jeep,2012,Patriot,SUV,2012 Jeep Patriot Sport (4X2),USED,Automatic,"4 cyl, 2 L",Rear,Premium,8.3 L / 100 km,118000,- / -,"Greenslopes, QLD",4 cyl,SUV, 4 Doors, 5 Seats,11900
Dodge,2013,Journey,SUV,2013 Dodge Journey SXT,USED,Automatic,"6 cyl, 3.6 L",Front,Premium,10.4 L / 100 km,58622,Silver / Cloth,"Ipswich, QLD",6 cyl,SUV, 4 Doors, 7 Seats,15886
Nissan,2018,Pathfinder,Penfold Motor Group used,2018 Nissan Pathfinder Ti X-tronic 2WD,USED,Automatic,-,Front,Unleaded,-,58701,White / Black,"Burwood, VIC",-,Wagon,,,40890
Subaru,2013,Impreza,Melbourne Quality Cars,2013 Subaru Impreza WRX,USED,Manual,-,Other,Unleaded,-,164359,Grey / -,"Moorabbin, VIC",-,Hatchback,,,25990
Hyundai,2019,I30,Hatchback,2019 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,73056,Silver / Black,"Berwick, VIC",4 cyl,Hatchback, 4 Doors, 5 Seats,21750
Hyundai,2010,Iload,Commercial,2010 Hyundai Iload,USED,Manual,"4 cyl, 2.4 L",Rear,Premium,10.1 L / 100 km,230576,White / -,"Slacks Creek, QLD",4 cyl,Commercial, 4 Doors, 3 Seats,13990
Nissan,2008,Elgrand,Motorman Imports,2008 Nissan Elgrand,USED,Automatic,-,Other,-,-,127000,Black / -,"Slacks Creek, QLD",-,Wagon,,,18000
Suzuki,2009,Swift,Hatchback,2009 Suzuki Swift,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.7 L / 100 km,227452,Silver / Black,"Mordialloc, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,8999
Holden,2018,Colorado,Ute / Tray,2018 Holden Colorado LS (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,9 L / 100 km,67671,White / Black,"Pakenham, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38990
Toyota,2016,Corolla,Hatchback,2016 Toyota Corolla Ascent Sport,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.1 L / 100 km,121665,Orange / -,"Moorooka, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,18995
Suzuki,2017,Vitara,SUV,2017 Suzuki Vitara S Turbo (fwd),USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,49473,Black / Black Cloth,"Berwick, VIC",4 cyl,SUV, 4 Doors, 5 Seats,25490
Volkswagen,2015,Polo,Hatchback,2015 Volkswagen Polo 66 TSI Trendline,USED,Manual,"4 cyl, 1.2 L",Front,Premium,4.8 L / 100 km,48000,White / -,"Clayton South, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,14950
Nissan,2002,Patrol,SUV,2002 Nissan Patrol ST (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,0 L / 100 km,302328,Gold / -,"Rocklea, QLD",4 cyl,SUV, 4 Doors, 7 Seats,17999
Audi,2007,A6,Sedan,2007 Audi A6 3.0 TDI Quattro,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,8.5 L / 100 km,212599,Gold / -,"Braybrook, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,11999
Toyota,2022,RAV4,SUV,2022 Toyota RAV4 Cruiser (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6 L / 100 km,11277,Blue / Black,"Pakenham, VIC",4 cyl,SUV, 5 Doors, 5 Seats,56990
Nissan,2008,Navara,Ute / Tray,2008 Nissan Navara ST-X (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.8 L / 100 km,198000,Grey / -,"Moorabbin, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,15990
Toyota,2009,Hiace,Commercial,2009 Toyota Hiace LWB,USED,Manual,"4 cyl, 2.7 L",Rear,Unleaded,11.6 L / 100 km,245000,Silver / Grey,"Coorparoo, QLD",4 cyl,Commercial, 4 Doors, 3 Seats,13950
Mazda,2017,6,Sedan,2017 Mazda 6 Sport,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,65340,Silver / Black Cloth,"Burwood, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,26590
Kia,2018,Cerato,Sedan,2018 Kia Cerato S,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.1 L / 100 km,37797,Silver / -,"Moorabbin, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,23950
Infiniti,2014,Q50,Sedan,2014 Infiniti Q50 2.2D S Premium,USED,Automatic,"4 cyl, 2.1 L",Rear,Diesel,5.2 L / 100 km,101103,Grey / White,"Pinkenba, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,21990
Hyundai,2015,Santa,SUV,2015 Hyundai Santa FE Active (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,9 L / 100 km,199675,White / -,"Moorabbin, VIC",4 cyl,SUV, 4 Doors, 7 Seats,18888
Subaru,2018,Forester,SUV,2018 Subaru Forester 2.5I-L,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,168805,Grey / Black,"Thomastown, VIC",4 cyl,SUV, 4 Doors, 5 Seats,22950
Holden,2014,Cruze,Hatchback,2014 Holden Cruze SRI Z-Series,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.9 L / 100 km,165449,White / Black Leather,"Hamilton, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,9990
Toyota,2021,Corolla,Hatchback,2021 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,67182,White / -,"Moorabbin, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,33950
Toyota,2007,Landcruiser,SUV,2007 Toyota Landcruiser Prado Grande (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,347137,Silver / -,"Helensvale, QLD",4 cyl,SUV, 4 Doors, 8 Seats,22490
Mazda,2018,6,Sedan,2018 Mazda 6 Sport,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,147971,White / -,"Moorabbin, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,25950
Kia,2006,Cerato,Hatchback,2006 Kia Cerato,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.9 L / 100 km,69563,Silver / Grey,"Springwood, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,7999
Toyota,2011,Kluger,SUV,2011 Toyota Kluger KX-R (fwd) 5 Seat,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,158085,Grey / -,"Pakenham, VIC",6 cyl,SUV, 4 Doors, 5 Seats,19490
Suzuki,2008,Grand,SUV,2008 Suzuki Grand Vitara (4X4),USED,Manual,"4 cyl, 2 L",4WD,Unleaded,9.2 L / 100 km,121020,Silver / -,"Capalaba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,14995
Lexus,2010,IS250,Sedan,2010 Lexus IS250 Prestige,USED,Automatic,"6 cyl, 2.5 L",Rear,Premium,9.1 L / 100 km,73875,Red / Black,"Elsternwick, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,24990
Hyundai,2015,IX35,SUV,2015 Hyundai IX35 SE (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.4 L / 100 km,151414,Grey / -,"Eagle Farm, QLD",4 cyl,SUV, 4 Doors, 5 Seats,16990
Mazda,2007,BT-50,Ute / Tray,2007 Mazda BT-50 B3000 SDX (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,10.4 L / 100 km,237415,Red / -,"Moorabbin, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,15990
Ford,2019,Ranger,Ute / Tray,2019 Ford Ranger Wildtrak 2.0 (4X4),USED,Automatic,"4 cyl, 2 L",4WD,Diesel,7.4 L / 100 km,67813,Orange / -,"Pakenham, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,56990
Audi,2011,A4,Wagon,2011 Audi A4 2.0 TDI Avant,USED,Automatic,"4 cyl, 2 L",Front,Diesel,6 L / 100 km,186851,Grey / -,"Moorooka, QLD",4 cyl,Wagon, 4 Doors, 5 Seats,13995
Ford,2010,Focus,Hatchback,2010 Ford Focus XR5 Turbo,USED,Manual,"5 cyl, 2.5 L",Front,Premium,9.3 L / 100 km,164674,White / Grey,"Ringwood, VIC",5 cyl,Hatchback, 5 Doors, 5 Seats,17990
Mitsubishi,2009,Triton,Ute / Tray,2009 Mitsubishi Triton GLX-R (4X4),USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,9.1 L / 100 km,257027,Silver / -,"Moorabbin, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,21990
Chrysler,2012,300C,Sedan,2012 Chrysler 300C SRT8,USED,Automatic,"8 cyl, 6.1 L",Rear,Premium,14 L / 100 km,119191,Black / -,"Point Cook, VIC",8 cyl,Sedan, 4 Doors, 5 Seats,26999
Nissan,2015,X-Trail,USED Dealer ad,2015 Nissan X-Trail Hybrid,USED,-,-,Other,-,-,58125,Black / -,"Moorabbin, VIC",-,Wagon,,,29950
Toyota,2010,Kluger,SUV,2010 Toyota Kluger Grande (fwd),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11.6 L / 100 km,84646,Black / Black,"Rocklea, QLD",6 cyl,SUV, 4 Doors, 7 Seats,21850
Ford,2010,Falcon,Ute / Tray,2010 Ford Falcon (LPG),USED,Automatic,"6 cyl, 4 L",Rear,LPG,16.2 L / 100 km,274918,White / -,"Labrador, QLD",6 cyl,Ute / Tray, 2 Doors, 2 Seats,8999
Volvo,2018,XC90,SUV,2018 Volvo XC90 D5 Inscription,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.9 L / 100 km,86055,White / Black,"Southport, QLD",4 cyl,SUV, 4 Doors, 7 Seats,55000
Toyota,2014,Estima,USED Dealer ad,2014 Toyota Estima AERAS 2.4L 7 SEATER,USED,-,-,Other,-,-,82022,White / -,"Moorabbin, VIC",-,Wagon,,,24950
Honda,2015,Fit,USED Dealer ad,2015 Honda Fit S-EDITION HYBRID 1.5L 5 SEATER,USED,-,-,Other,-,-,56630,White / -,"Moorabbin, VIC",-,Hatchback,,,24950
Kia,2018,Sportage,SUV,2018 Kia Sportage GT-Line (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,8.5 L / 100 km,37300,White / Black Leather,"Toowoomba, QLD",4 cyl,SUV, 4 Doors, 5 Seats,29990
Land,2018,Rover,SUV,2018 Land Rover Range Rover Evoque SD4 (177KW) SE,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.8 L / 100 km,79452,Black / -,"Ferntree Gully, VIC",4 cyl,SUV, 5 Doors, 5 Seats,46555
Ford,2007,Territory,SUV,2007 Ford Territory TX (4X4),USED,Automatic,"6 cyl, 4 L",AWD,Unleaded,12.2 L / 100 km,181244,- / -,"Dingley Village, VIC",6 cyl,SUV, 4 Doors, 5 Seats,8990
Holden,2014,Commodore,Sedan,2014 Holden Commodore Evoke (lpg),USED,Automatic,"6 cyl, 3.6 L",Rear,LPG,11.5 L / 100 km,276925,White / -,"Braybrook, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,12799
Jeep,2012,Compass,SUV,2012 Jeep Compass Sport (4X2),USED,Automatic,"4 cyl, 2 L",Rear,Premium,8.2 L / 100 km,109512,Grey / -,"Moorabbin, VIC",4 cyl,SUV, 4 Doors, 5 Seats,14990
Subaru,2013,XV,SUV,2013 Subaru XV 2.0I,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,138887,White / Black,"Tweed Heads South, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22990
Mazda,2006,BT-50,Ute / Tray,2006 Mazda BT-50 B2500 DX,USED,Manual,"4 cyl, 2.5 L",Rear,Diesel,8.3 L / 100 km,314025,Silver / Grey  Cloth,"Campbellfield, VIC",4 cyl,Ute / Tray, 2 Doors, 3 Seats,8999
Mitsubishi,2012,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.7 L / 100 km,197269,White / -,"Eagle Farm, QLD",4 cyl,SUV, 4 Doors, 5 Seats,11990
Hyundai,2015,I30,Hatchback,2015 Hyundai I30 Active X,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,6.8 L / 100 km,63710,White / -,"Morningside, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,16890
Holden,2011,Commodore,Sedan,2011 Holden Commodore SV6,USED,Automatic,"6 cyl, 3.6 L",Rear,Unleaded,10.1 L / 100 km,209985,Black / Black,"Hoppers Crossing, VIC",6 cyl,Sedan, 4 Doors, 5 Seats,12990
Toyota,2018,Kluger,SUV,2018 Toyota Kluger GX (4X4),USED,Automatic,"6 cyl, 3.5 L",AWD,Unleaded,9.5 L / 100 km,73836,Grey / -,"Moorabbin, VIC",6 cyl,SUV, 4 Doors, 7 Seats,43950
Hyundai,2014,I20,Hatchback,2014 Hyundai I20 Active,USED,Manual,"4 cyl, 1.4 L",Front,Unleaded,5.3 L / 100 km,60927,White / -,"Eagle Farm, QLD",4 cyl,Hatchback, 3 Doors, 5 Seats,10990
Holden,2012,Captiva,SUV,2012 Holden Captiva 5 (FWD),USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.8 L / 100 km,170711,Silver / -,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,12990
Toyota,2013,Hilux,Ute / Tray,2013 Toyota Hilux SR (4X4),USED,Manual,"4 cyl, 3 L",4WD,Diesel,8.2 L / 100 km,267299,White / -,"Williamstown, VIC",4 cyl,Ute / Tray, 2 Doors, 3 Seats,29999
Nissan,2019,X-Trail,SUV,2019 Nissan X-Trail ST (4WD),USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,8.3 L / 100 km,83405,Silver / Black,"Ashmore, QLD",4 cyl,SUV, 4 Doors, 5 Seats,29990
Hyundai,2005,Tucson,SUV,2005 Hyundai Tucson Elite,USED,Automatic,"6 cyl, 2.7 L",AWD,Unleaded,11 L / 100 km,191317,White / -,"Seaford, VIC",6 cyl,SUV, 4 Doors, 5 Seats,8990
GWM,2023,UTE,NEW In stock,2023 GWM UTE Cannon XSR,NEW,Automatic,-,Other,Diesel,-,20,White / Black,"Moorooka, QLD",-,Ute / Tray,,,51490
Toyota,2018,Landcruiser,Ute / Tray,2018 Toyota Landcruiser Workmate (4X4),USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,10.7 L / 100 km,128000,White / -,"Mill Park, VIC",8 cyl,Ute / Tray, 4 Doors, 5 Seats,114990
Nissan,2013,Dualis,SUV,2013 Nissan Dualis ST (4X2),USED,Manual,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,79319,Blue / Grey,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,12980
Mazda,2011,CX-7,SUV,2011 Mazda CX-7 Classic (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,9.4 L / 100 km,122117,Black / Black,"Hoppers Crossing, VIC",4 cyl,SUV, 4 Doors, 5 Seats,14990
Kia,2021,Sportage,SUV,2021 Kia Sportage GT-Line (awd),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,8.5 L / 100 km,27080,Grey / Black,"Brooklyn, VIC",4 cyl,SUV, 4 Doors, 5 Seats,44928
Mitsubishi,2023,Outlander,Ralph D'Silva Mitsubishi,2023 Mitsubishi Outlander Exceed 7 Seat (awd),NEW,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,5,White / -,"Preston, VIC",4 cyl,SUV, 4 Doors, 7 Seats,60990
Subaru,2011,Impreza,Hatchback,2011 Subaru Impreza XV (awd),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,192041,Grey / -,"Moorabbin, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,14990
Mazda,2016,CX-3,SUV,2016 Mazda CX-3 S Touring (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.1 L / 100 km,33734,White / Black,"Chermside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,26999
Volkswagen,2011,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,99882,White / -,"Nerang, QLD",4 cyl,SUV, 4 Doors, 5 Seats,14980
Renault,2016,Kangoo,Commercial,2016 Renault Kangoo 1.6 SWB,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8.2 L / 100 km,128175,White / -,"Braybrook, VIC",4 cyl,Commercial, 3 Doors, 2 Seats,19999
GWM,2023,UTE,Springwood GWM HAVAL,2023 GWM UTE Cannon-L (4X4),NEW,Automatic,"4 cyl, 2 L",4WD,Diesel,9.4 L / 100 km,10,Silver / -,"Springwood, QLD",4 cyl,Ute / Tray, 4 Doors, 5 Seats,44085
Kia,2020,Cerato,Sedan,2020 Kia Cerato GT Safety Pack,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.8 L / 100 km,52924,Grey / Black,"Everton Hills, QLD",4 cyl,Sedan, 4 Doors, 5 Seats,28999
Subaru,2009,Impreza,Hatchback,2009 Subaru Impreza WRX (awd),USED,Manual,"4 cyl, 2.5 L",AWD,Premium,10.7 L / 100 km,256066,Black / -,"Rocklea, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,13999
Mazda,2012,CX-5,SUV,2012 Mazda CX-5 Grand Tourer (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.9 L / 100 km,215359,Blue / Black,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,15999
Mercedes-Benz,2017,CLA250,Sedan,2017 Mercedes-Benz CLA250 Sport 4Matic,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.9 L / 100 km,82889,Grey / Black,"Port Melbourne, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,42980
Toyota,2020,Corolla,Hatchback,2020 Toyota Corolla Ascent Sport Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,9648,Silver / Black,"HEIDELBERG, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,35888
Toyota,2003,Landcruiser,SUV,2003 Toyota Landcruiser Prado GX (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,12.6 L / 100 km,312270,Burgundy / -,"Slacks Creek, QLD",4 cyl,SUV, 4 Doors, 8 Seats,14990
Holden,2014,Cruze,Sedan,2014 Holden Cruze SRI V,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,7.9 L / 100 km,179308,Grey / Black,"Mordialloc, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,8999
Nissan,2008,Cube,Redlands Mazda Used,2008 Nissan Cube Cubic,USED,Automatic,-,Front,Unleaded,-,60125,Red / -,"Capalaba, QLD",-,Wagon,,,18888
Toyota,2008,Landcruiser,SUV,2008 Toyota Landcruiser Prado GXL (4X4),USED,Automatic,"4 cyl, 3 L",4WD,Diesel,9.3 L / 100 km,387351,Black / -,"Labrador, QLD",4 cyl,SUV, 4 Doors, 8 Seats,17999
Ford,2013,Focus,Hatchback,2013 Ford Focus Sport,USED,Manual,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,122003,Red / -,"Seaford, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,12950
Nissan,2018,X-Trail,USED Dealer ad,2018 Nissan X-Trail Hybrid,USED,-,-,Other,-,-,64963,White / -,"Moorabbin, VIC",-,Wagon,,,41950
Holden,2014,UTE,Ute / Tray,2014 Holden UTE SS Storm,USED,Automatic,"8 cyl, 6 L",Rear,Unleaded,11.5 L / 100 km,169730,Black / Black,"Ashmore, QLD",8 cyl,Ute / Tray, 2 Doors, 2 Seats,35990
Mini,2014,Paceman,Hatchback,2014 Mini Paceman Cooper JCW ALL4,USED,Automatic,"4 cyl, 1.6 L",AWD,Premium,8.3 L / 100 km,87861,Blue / White,"Pinkenba, QLD",4 cyl,Hatchback, 3 Doors, 4 Seats,31990
BMW,2009,X5,SUV,2009 BMW X5 Xdrive 30D Executive,USED,Automatic,"6 cyl, 3 L",4WD,Diesel,8.7 L / 100 km,326592,Gold / -,"Braybrook, VIC",6 cyl,SUV, 4 Doors, 5 Seats,12788
